id;name;email;phone_number;birth_date;sex;passport;country_code;address;account_creation;pay_method;account_status
FredeSantos-Macedo1115;;fredesantos-macedo1115@li3.pt;(351) 964077348;1984/09/11;M;GJ773706;PT;Avenida de Sá, 4091797-847 Mealhada;2015/09/26 22:37:31;credit_card;active
TiaSimões333;Tiago Simões;tiasimões333@li3.pt;(351) 963994705;11/12/2020;M;OM278922;PT;Avenida Denis Ferreira, 50482-728 Queluz;2010/11/12 04:40:42;cash;active
CaOliveira;;caoliveira@li3.pt;968 981 966;1986/03/30;M;OB238691;PT;Rua de Castro, 704239-037 Amarante;2010/01/27 14:03:39;debit_card;inactive
LuCarneiro181;Luciana Carneiro;lucarneiro181@li3.pt;(351) 228 728 479;1975/10/05;F;RS542108;PT;;2010/06/30 03:44:47;debit_card;active
TatiaAmorim1160;Tatiana Amorim;tatiaamorim1160@li3@pt;(351) 293907394;1981/11/30;F;YB981251;PT;R. do Anjo, 1158437-177 Santo Tirso;2010/10/21 22:36:32;cash;active
BrPinheiro;Bruna Pinheiro;brpinheiro@li3.pt;+351933867078;1951/09/05;F;;PT;R. de Vicente, S/N7499-842 Tomar;2014/11/12 16:13:43;debit_card;active
RicaCardoso;Ricardo Cardoso;ricacardoso@li3.pt;(351) 910 624 867;1973/03/23;M;VU971781;PT;;2011/05/29 13:09:21;debit_card;active
MarcMonteiro628;Marco Monteiro;marcmonteiro628@li3.pt;(351) 964617295;1960/06/25;M;II275742;LHA;Av Enzo Torres, 36186-529 Mirandela;2012/02/11 02:41:24;credit_card;active
DeAnjos;Denis Anjos;deanjos@li3.pt;(351) 203 619 375;1998/10/30;;ZT095396;PT;Largo Iara Magalhães, 111777-962 Gafanha da Nazaré;2010/03/13 23:09:43;cash;active
;Vítor de Valente;vítovalente1004@li3.pt;+351966940683;1990/11/09;M;ZU851515;PT;Largo Alves, 4067129-875 Alcácer do Sal;2013/04/10 10:44:29;cash;active
